id,plate,year,odometer,category,sub,location_base,location_now,type,booking,hr_cost,min_hrs_cost,fastag,added,photo_url,body,fuel,transmission,seats
78,KL07DH8402,2025,"17,661",Crysta N/M Diesel MT,—,JLN stadium,Vytilla Hub,Car,Hourly (Min),₹158,"₹3,800",₹95.00,04 Jul 2026,https://master.therentos.com/uploads/1780054872_417-4177146_toyota-car-toyota-innova-crysta-motor-vehicle-png.png,Suv,Diesel,MANUAL,7
77,KL07DF6248,2025,"30,690",Ertiga Petrol MT 2025,—,JLN stadium,,Car,Hourly (Min),₹117,"₹2,800",₹210.00,04 Jul 2026,https://master.therentos.com/uploads/1780054616_v1.png,Suv,Petrol,MANUAL,7
76,KL 07 DK 3102,2025,"39,587",WagonR Petrol MT,—,JLN stadium,Kochi Airport,Car,Hourly (Min),₹63,"₹1,500",₹95.00,29 Jun 2026,https://master.therentos.com/uploads/1774789892_Wagon R_.png,Hatchback,Petrol,MANUAL,5
75,KL07DD8502,2024,"50,326",Alto K10 PETROL MT,—,JLN stadium,Kochi Airport,Car,Hourly (Min),₹50,"₹1,200",₹95.00,04 Jun 2026,https://master.therentos.com/uploads/1779123525_pngegg.png,Hatchback,Petrol,MANUAL,5
74,KL07DB5088,2023,0,WagonR Petrol MT,—,Varkala Branch,,Car,Hourly (Min),₹63,"₹1,500",₹0.00,04 Jun 2026,https://master.therentos.com/uploads/1774789892_Wagon R_.png,Hatchback,Petrol,MANUAL,5
73,KL07DF5574,2025,0,WagonR Petrol AMT,—,Varkala Branch,,Car,Hourly (Min),₹67,"₹1,600",₹0.00,04 Jun 2026,https://master.therentos.com/uploads/1779908113_1774789892_Wagon R_.png,Hatchback,Petrol,AUTOMATIC,5
72,KL07DF4942,2025,"24,737",Grand i10 Petrol AMT,—,JLN stadium,Kochi Airport,Car,Hourly (Min),₹67,"₹1,600",₹160.00,04 Jun 2026,https://master.therentos.com/uploads/1779908735_1774857734_i10 nios.png,Hatchback,Petrol,AUTOMATIC,5
71,KL07DD8256,2025,"38,000",Ignis Petrol AMT,—,JLN stadium,,Car,Hourly (Min),₹67,"₹1,600",₹200.00,04 Jun 2026,https://master.therentos.com/uploads/1779909174_PngItem_1232124.png,Hatchback,Petrol,AUTOMATIC,5
70,KL07CW3212,2021,0,Swift Petrol MT,—,Varkala Branch,,Car,Hourly (Min),₹71,"₹1,700",₹0.00,04 Jun 2026,https://master.therentos.com/uploads/1774789906_Swift.png,Hatchback,Petrol,MANUAL,5
69,KL07DB1262,2024,0,Baleno Petrol AMT,—,Varkala Branch,,Car,Hourly (Min),₹92,"₹2,200",₹0.00,04 Jun 2026,https://master.therentos.com/uploads/1781728937_balenoo.png,Hatchback,Petrol,AUTOMATIC,5
68,KL07DF9627,2024,"51,102",Ertiga Petrol MT 2025,—,JLN stadium,EKM Town Rly Stn,Car,Hourly (Min),₹117,"₹2,800",₹415.00,04 Jun 2026,https://master.therentos.com/uploads/1780054616_v1.png,Suv,Petrol,MANUAL,7
