id,name,business,business_id,asset_identifier,asset_category_id,sub_category_id,available_stock,booking_mode,min_hrs,max_extension_hrs,km_limit,asset_km_per_block,journey_km_limit_allowed,deposit,cost_per_hr,cost_per_hr_incl_tax,cost_per_24_hrs_incl_tax,extension_price_per_hr,extension_price_per_hr_incl_tax,rental_total_incl_tax,total_journey_incl_tax,billed_hours,billed_input_hours,min_block_hours,billable_blocks,billable_extension_hours,normal_hours,extension_hours,rate_ex_tax,extension_rate_ex_tax,amount_ex_tax,base_amount_ex_tax,extension_amount_ex_tax,tax_percent,tax,total_incl_tax,image,business_logo
1,Alto K10 PETROL MT,AVS RENT A CAB,1,KL07DD8525,31,0,3,hourly_min,24,,120,120,670,5000.0,42.37,50.0,1199.92,,50.0,6699.54,6699.54,134,134,24,1,0,134,0,42.37,0.0,5677.58,5677.58,0.0,18,1021.96,6699.54,https://master.therentos.com/uploads/1779123525_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
3,Alto K10 PETROL AMT,AVS RENT A CAB,1,KL07DK0994,32,0,1,hourly_min,24,,120,120,670,5000.0,45.91,54.17,1300.17,,54.17,7259.29,7259.29,134,134,24,1,0,134,0,45.91,0.0,6151.94,6151.94,0.0,18,1107.35,7259.29,https://master.therentos.com/uploads/1779901823_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
4,Celerio Petrol MT,AVS RENT A CAB,1,KL07DF5532,25,0,2,hourly_min,24,,120,120,670,5000.0,52.97,62.5,1500.11,,62.5,8375.62,8375.62,134,134,24,1,0,134,0,52.97,0.0,7097.98,7097.98,0.0,18,1277.64,8375.62,https://master.therentos.com/uploads/1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
6,Celerio Petrol AMT,AVS RENT A CAB,1,KL07DF5506,35,0,3,hourly_min,24,,120,120,670,5000.0,56.5,66.67,1600.08,,66.67,8933.78,8933.78,134,134,24,1,0,134,0,56.5,0.0,7571.0,7571.0,0.0,18,1362.78,8933.78,https://master.therentos.com/uploads/1779902788_1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
9,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5564,21,0,1,hourly_min,24,,120,120,670,5000.0,60.03,70.84,1700.05,,70.84,9491.94,9491.94,134,134,24,1,0,134,0,60.03,0.0,8044.02,8044.02,0.0,18,1447.92,9491.94,https://master.therentos.com/uploads/1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
10,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5426,21,0,1,hourly_min,24,,120,120,670,5000.0,60.03,70.84,1700.05,,70.84,9491.94,9491.94,134,134,24,1,0,134,0,60.03,0.0,8044.02,8044.02,0.0,18,1447.92,9491.94,https://master.therentos.com/uploads/1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
11,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5542,24,0,1,hourly_min,24,,120,120,670,5000.0,70.62,83.33,1999.96,,83.33,11166.43,11166.43,134,134,24,1,0,134,0,70.62,0.0,9463.08,9463.08,0.0,18,1703.35,11166.43,https://master.therentos.com/uploads/1774789867_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
12,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5536,24,0,2,hourly_min,24,,120,120,670,5000.0,70.62,83.33,1999.96,,83.33,11166.43,11166.43,134,134,24,1,0,134,0,70.62,0.0,9463.08,9463.08,0.0,18,1703.35,11166.43,https://master.therentos.com/uploads/1774789867_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
14,Swift Petrol AMT,AVS RENT A CAB,1,KL07DF5428,36,0,2,hourly_min,24,,120,120,670,5000.0,67.09,79.17,1899.99,,79.17,10608.27,10608.27,134,134,24,1,0,134,0,67.09,0.0,8990.06,8990.06,0.0,18,1618.21,10608.27,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
17,Swift Petrol AMT,AVS RENT A CAB,1,KL07DD9163,36,0,1,hourly_min,24,,120,120,670,5000.0,67.09,79.17,1899.99,,79.17,10608.27,10608.27,134,134,24,1,0,134,0,67.09,0.0,8990.06,8990.06,0.0,18,1618.21,10608.27,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
19,Baleno Petrol AMT,AVS RENT A CAB,1,KL07DF5579,37,0,2,hourly_min,24,,120,120,670,5000.0,77.68,91.66,2199.9,,91.66,12282.76,12282.76,134,134,24,1,0,134,0,77.68,0.0,10409.12,10409.12,0.0,18,1873.64,12282.76,https://master.therentos.com/uploads/1781728937_balenoo.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
20,Baleno Petrol AMT,AVS RENT A CAB,1,KL07DB9370,37,0,1,hourly_min,24,,120,120,670,5000.0,77.69,91.67,2200.18,,91.67,12284.34,12284.34,134,134,24,1,0,134,0,77.69,0.0,10410.46,10410.46,0.0,18,1873.88,12284.34,https://master.therentos.com/uploads/1781728937_balenoo.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
